timestamp,cpu_usage_total,mem_used_percent,mem_used_bytes,mem_total_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
2025-10-11T18:10:58+03:00,7.63,41.27,6837796864,16568233984,10135565312,13327828992,49222029,143109591
2025-10-11T18:11:01+03:00,12.31,41.06,6802616320,16568233984,10135565312,13329197056,49257780,143145015
2025-10-11T18:11:05+03:00,12.96,41.11,6811222016,16568233984,10135565312,13337020416,49280672,143168206
2025-10-11T18:11:08+03:00,15.77,40.75,6751350784,16568233984,10135565312,13337356288,49338750,143217171
2025-10-11T18:11:11+03:00,7.13,40.71,6744870912,16568233984,10135565312,13339920384,49376351,143322017
2025-10-11T18:11:14+03:00,5.04,40.73,6748626944,16568233984,10135565312,13342189568,49410066,143355688
2025-10-11T18:11:17+03:00,4.68,40.68,6739591168,16568233984,10135565312,13343967232,49428602,143374204
2025-10-11T18:11:20+03:00,15.66,40.74,6750187520,16568233984,10135565312,13344786432,49463032,143408023
2025-10-11T18:11:23+03:00,14.97,40.43,6698921984,16568233984,10135565312,13346170880,49495985,143440893
2025-10-11T18:11:26+03:00,9.18,40.36,6686138368,16568233984,10135565312,13347547136,49529336,143474290
2025-10-11T18:11:29+03:00,7.55,40.33,6681346048,16568233984,10135565312,13348734976,49547775,143492729
2025-10-11T18:11:33+03:00,24.23,40.35,6684712960,16568233984,10135565312,13349455872,49590736,143535065
2025-10-11T18:11:36+03:00,9.42,40.28,6673088512,16568233984,10135565312,13350496256,49631410,143568971
2025-10-11T18:11:39+03:00,6.02,40.36,6686216192,16568233984,10135565312,13351127040,49649842,143587403
2025-10-11T18:11:42+03:00,6.55,40.31,6678675456,16568233984,10135565312,13352617984,49688964,143622007
2025-10-11T18:11:45+03:00,11.48,40.25,6669004800,16568233984,10135565312,13353117696,49707360,143640469
2025-10-11T18:11:48+03:00,5.14,40.24,6666461184,16568233984,10135565312,13354510336,49743084,143676129
2025-10-11T18:11:51+03:00,11.82,40.19,6658138112,16568233984,10135565312,13354952704,49761629,143694654
2025-10-11T18:11:54+03:00,11.42,40.30,6677757952,16568233984,10135565312,13356075008,49785863,143711934
2025-10-11T18:11:57+03:00,16.86,40.23,6665904128,16568233984,10135565312,13357606912,49786554,143712609
2025-10-11T18:12:00+03:00,9.17,40.18,6657413120,16568233984,10135617536,13358663680,49786970,143713025
2025-10-11T18:12:04+03:00,7.82,40.16,6654537728,16568233984,10135617536,13359597568,49806644,143715042
2025-10-11T18:12:07+03:00,10.95,40.38,6690160640,16568233984,10136207360,13365708800,49811916,143718178
2025-10-11T18:12:10+03:00,2.30,40.30,6676291584,16568233984,10136207360,13366781952,49927379,143765041
2025-10-11T18:12:13+03:00,7.08,40.28,6672986112,16568233984,10136207360,13375850496,49989746,143772994
2025-10-11T18:12:16+03:00,7.32,40.23,6664671232,16568233984,10136207360,13376759808,49991057,143774182
2025-10-11T18:12:19+03:00,4.73,40.20,6660333568,16568233984,10136207360,13378201600,49997814,143775366
2025-10-11T18:12:22+03:00,17.40,40.09,6642061312,16568233984,10136207360,13378635776,49998270,143775822
2025-10-11T18:12:25+03:00,19.87,40.41,6695641088,16568233984,10136207360,13380282368,49998582,143776134
2025-10-11T18:12:28+03:00,3.09,40.14,6651273216,16568233984,10136207360,13380552704,50000027,143777579
2025-10-11T18:12:31+03:00,19.39,41.22,6828773376,16568233984,10136207360,13392152576,50035145,143810768
2025-10-11T18:12:34+03:00,7.81,40.93,6781632512,16568233984,10136207360,13392799744,50062943,143831427
2025-10-11T18:12:38+03:00,9.23,40.66,6736904192,16568233984,10136207360,13409200128,50078680,143842712
2025-10-11T18:12:41+03:00,7.46,40.48,6706774016,16568233984,10136207360,13410650112,50118951,143866581
2025-10-11T18:12:44+03:00,10.74,40.41,6695878656,16568233984,10136207360,13411780608,50119584,143867171
2025-10-11T18:12:47+03:00,6.12,40.48,6707642368,16568233984,10136207360,13412870144,50128644,143876105
2025-10-11T18:12:50+03:00,5.37,40.47,6705668096,16568233984,10136207360,13417220096,50129256,143876717
2025-10-11T18:12:53+03:00,17.75,40.32,6679633920,16568233984,10136207360,13417728000,50135151,143885758
2025-10-11T18:12:56+03:00,7.78,40.22,6664024064,16568233984,10136207360,13436061696,50135763,143886370
2025-10-11T18:12:59+03:00,9.06,40.18,6656704512,16568233984,10136207360,13436610560,50136419,143887026
2025-10-11T18:13:02+03:00,16.67,40.15,6651830272,16568233984,10136207360,13444745216,50137142,143887879
2025-10-11T18:13:06+03:00,15.04,40.29,6675341312,16568233984,10136213504,13450840064,50138395,143888940
2025-10-11T18:13:09+03:00,7.33,40.23,6665564160,16568233984,10136213504,13451642880,50160889,143958580
2025-10-11T18:13:12+03:00,11.77,40.13,6648307712,16568233984,10136213504,13454108672,50162646,143960309
2025-10-11T18:13:15+03:00,6.27,40.11,6645710848,16568233984,10136213504,13454968832,50163330,143960979
2025-10-11T18:13:18+03:00,4.21,40.07,6638227456,16568233984,10136213504,13455771648,50163746,143961395
2025-10-11T18:13:21+03:00,4.63,40.03,6632112128,16568233984,10136213504,13457426432,50164058,143961707
2025-10-11T18:13:24+03:00,5.43,39.95,6619828224,16568233984,10136213504,13457942528,50164456,143962085
2025-10-11T18:13:27+03:00,10.75,40.06,6636965888,16568233984,10136213504,13458909184,50164768,143962397
2025-10-11T18:13:30+03:00,10.23,40.09,6641446912,16568233984,10136213504,13459654656,50181518,143979147
2025-10-11T18:13:33+03:00,21.67,40.85,6767915008,16568233984,10136213504,13460998144,50189246,143986088
2025-10-11T18:13:37+03:00,14.49,41.87,6937042944,16568233984,10136213504,13466273792,50270443,144069204
2025-10-11T18:13:40+03:00,5.82,41.66,6901518336,16568233984,10136213504,13467928576,50305468,144104298
2025-10-11T18:13:43+03:00,23.55,41.19,6824022016,16568233984,10136213504,13470189568,50325172,144124002
2025-10-11T18:13:46+03:00,10.84,41.17,6821675008,16568233984,10136213504,13471778816,50376229,144164382
2025-10-11T18:13:49+03:00,17.03,41.10,6810079232,16568233984,10136213504,13473310720,50411979,144198642
